SF (kN),BM (kN-m),Distance (m)
16.96,0.00,0.00
16.83,-2.82,0.17
16.61,-5.61,0.33
16.31,-8.35,0.50
15.91,-11.04,0.67
15.42,-13.65,0.83
14.85,-16.17,1.00
14.27,-18.60,1.17
13.79,-20.94,1.33
13.39,-23.20,1.50
13.09,-25.41,1.67
12.87,-27.57,1.83
12.74,-29.70,2.00
-8.04,-29.70,2.00
-8.17,-28.35,2.17
-8.38,-26.97,2.33
-8.69,-25.55,2.50
-9.09,-24.07,2.67
-9.57,-22.52,2.83
-10.15,-20.88,3.00
-10.72,-19.14,3.17
-11.21,-17.31,3.33
-11.60,-15.40,3.50
-11.91,-13.44,3.67
-12.13,-11.44,3.83
-12.26,-9.41,4.00
-33.03,-9.40,4.00
-33.16,-3.89,4.17
-33.38,1.66,4.33
-33.69,7.24,4.50
-34.09,12.89,4.67
-34.57,18.61,4.83
-35.15,24.42,5.00
-35.72,30.33,5.17
-36.20,36.32,5.33
-36.60,42.39,5.50
-36.91,48.52,5.67
-37.13,54.69,5.83
-37.26,60.89,6.00
